,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,ellipticity,fwhm
0,1,125.3792441014308,3.23929700479558,,122,130,0,6,42.0,2.3191484294317473,1.304302171939187,-39.92030815366851,0.8268614688747203,320.3840826240331,732.3629410272534,-124.70379833182974,18948.276139790603,,0.4375943534330937,4.430459085760116
1,2,112.9346074764197,3.8636719371967874,,111,115,1,7,29.0,1.6632303477317456,1.2213123898728588,89.7072677874911,0.678823569815952,166.42906794140677,468.97691919168,9.622363253274523,8299.89053756812,,0.26569858977234195,3.435915314529962
2,3,262.8247282760181,8.198169373627227,,262,264,7,9,6.0,0.762691387281756,0.5638650067443418,-42.943901738695025,0.6733657455128997,518.3110655862351,623.2180689993346,-227.03555954091584,3421.6673144496067,,0.26069047566674974,1.5793470108333403
3,4,123.10357089966556,33.660631491451525,,112,133,19,44,411.0,4.6868407467174125,3.8025873655668825,-71.45309126938207,0.5845846199446445,297.4944366397753,7734.219358344996,-120.84956100387143,747638.5746807734,,0.18866725560706255,10.049613125526342
4,5,427.6401113806855,24.003994115586856,,427,429,23,25,6.0,0.8724486395350427,0.6701610241579109,-56.54107049208002,0.6402842242222784,441.40544039907667,575.7621565094958,-232.24984510928033,3194.2434437593547,,0.23186191852501215,1.8318338919297759
5,6,423.2391945590146,29.043037017381526,,421,425,26,31,16.0,1.5231681491606324,0.8045502403756594,-46.86373074698795,0.8491147541969061,464.3724976187253,753.4436146107896,-215.08430656382592,9104.902099467636,,0.47179158071351457,2.8683130574859352
6,7,97.81222526127763,29.394791371240764,,97,98,28,31,5.0,1.021851861017448,0.3825600195111228,85.24743912915966,0.9272757198246286,246.388328746384,278.62021410505093,-37.830136096771476,1316.6145975674372,,0.6256208613935376,1.8168267563926825
7,8,94.44633361662501,33.270413394391575,,93,96,32,34,8.0,1.1810355555148568,0.5356918127950394,-20.973762806386965,0.8912165539281542,239.47277407665837,318.7499269118914,-42.586089590395844,2187.987010113626,,0.5464219427657183,2.1593909753531344
8,9,212.73567780008398,39.38495406145636,,211,214,38,40,8.0,0.9666764693810503,0.6350347942468811,-18.134499432522816,0.7539551597102486,300.5649477821356,436.4855423417084,-19.49927583956547,2886.534583276428,,0.34307411594130843,1.9258718239571782
9,10,232.5300219957669,41.99752347436528,,232,233,41,43,6.0,0.793588396237267,0.49908499856706484,-89.66719852039793,0.7774889959498473,264.3695905924256,434.868616210584,-17.820116955594735,2088.014356660915,,0.37110345749328666,1.561006263404454
10,11,227.6359969710373,47.365613219732005,,226,229,46,49,9.0,1.1428028541625728,0.5666767494513052,-43.13555990491687,0.868399215204396,395.6548515572463,594.5826652574646,-140.23130174285413,4360.027024857583,,0.5041342893157572,2.1239908338296107
11,12,440.717109770656,63.947137289069666,,436,445,59,69,57.0,3.2399782166202495,1.3009534318949671,-51.41373800556758,0.9158451971318452,371.98567783185297,754.692037481012,-127.13595738154314,27694.501358488804,,0.5984684633923114,5.813577770894697
12,13,6.977777021807321,67.68443403837841,,5,8,66,69,12.0,1.0218043971494628,0.8587203401944102,-55.313376721421236,0.5419728253027198,258.3147676390806,448.5070982525993,-98.17138387000462,4258.83572401169,,0.15960398820949462,2.222459178554233
13,14,26.135685307925023,68.462018504433,,24,28,66,70,16.0,1.5402567694291938,0.8068976908430808,-43.252457479766505,0.8517968806619048,297.9660531652674,402.22828570401,-130.50923780979798,5571.944855665991,,0.4761278074810148,2.895315549366846
14,15,156.9756731013615,76.99991469286668,,152,162,71,82,71.0,3.505698836761502,1.4971214917813076,-52.783402703908166,0.904226287018671,343.0941568528248,650.8131851220185,-118.76506520113361,32270.48521670455,,0.572946347791723,6.347386111285099
15,16,203.2879231283942,84.14125881375418,,201,206,81,87,24.0,1.9972865871461318,0.9425144567189432,-53.62735410037231,0.8816534422758459,121.05889086447587,218.60137237307515,112.86296577199744,4135.5458711647225,,0.528102545330925,3.6773993579351383
16,17,231.27797359243618,95.7344003510438,,230,232,94,97,8.0,0.9520401678178398,0.6429114524931082,83.12968402225911,0.7375443821823929,307.842308569669,404.05992625554444,-32.042122631919206,2881.534821140875,,0.3247013369543871,1.912858760060509
17,18,394.54633097574407,133.70342943257663,,386,402,122,142,254.0,4.708878427425323,2.9511103070667706,-59.965070124745736,0.7792510196061834,356.5718833934414,2861.43273564108,-131.06582210075538,278148.5857405949,,0.3732880658207285,9.253362386097143
18,19,423.4816255255989,147.9451941069004,,414,431,138,156,245.0,4.472194927747698,2.8808992231310926,-56.38359253814736,0.7648737984173365,426.89991508433246,3569.458114383856,-188.16493179673586,380603.07736243604,,0.35581984469045036,8.858022337971558
