,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,ellipticity,fwhm
0,1,124.8439136685589,3.518609415367874,,122,128,1,6,25.0,1.8308702139211361,0.9812965343654425,-38.97722235585203,0.8442352850807439,354.3215775603926,709.1296367553688,-101.47049405994503,11881.773899333579,,0.4640272549610055,3.4588726070420943
1,2,112.87374954685372,3.9531069201659257,,111,114,2,6,16.0,1.2975615171568093,0.900658788636814,-89.75475015717029,0.719862736581804,222.91008040566948,436.90773710963,41.69154533532452,4988.567219036592,,0.30588355409127777,2.6300568281112193
2,3,123.1246563565121,33.67566537490651,,113,133,20,44,380.0,4.63603209501923,3.7217181503673444,-69.79979829369195,0.5962740818101848,378.5535894384791,7726.356435225385,-112.98663788426052,733470.8424731434,,0.1972190713766172,9.899208007399892
3,4,211.03352243906767,23.507588057282383,,210,212,23,24,6.0,0.796438040382669,0.49958661835270307,-1.742263634496656,0.7787968819486584,441.8820409476589,597.0083287768714,-40.22868688933272,3009.607191651851,,0.37272381149365497,1.5654686576757988
4,5,423.0914955241195,29.171055802360748,,422,424,28,30,8.0,0.8528416234720265,0.6566364709940448,-42.72754967564711,0.6381168655742081,496.4189893498864,697.5023823289164,-159.14307428195264,4605.741738715308,,0.23006047908309835,1.792225589596275
5,6,440.518529754538,64.232971039997,,437,445,60,68,35.0,2.9576943520451167,1.0112362309772507,-51.049384117817624,0.9397362752400069,428.0224191566765,738.1815516578556,-110.6254715583867,18042.400536337114,,0.6580998201257595,5.204779484283267
6,7,7.178240346887319,67.81099909215051,,6,8,67,69,6.0,0.7576117376168554,0.5698996360979693,-42.72001112815404,0.6588985726037441,323.9553706947172,437.57943814940586,-87.24372376681116,2333.9363174940927,,0.24776820658739207,1.5785737237469473
7,8,156.85702814058314,77.23933741113555,,153,161,72,81,42.0,3.2565844643691473,1.0208611767965392,-49.69914302319574,0.9495961126513813,384.48835553842355,604.5696343754563,-72.5215144545714,19018.29801447107,,0.6865239676827186,5.6827569813431875
8,9,202.6062485365398,95.30316478153105,,201,204,93,97,10.0,1.6170548046357516,0.6049692478700824,63.709214744308206,0.9273811247524748,185.9928424306534,274.1287510893879,158.58729545891998,2229.6259555914944,,0.6258820380510515,2.8748360426194393
9,10,358.6121940165884,97.55637175814117,,356,361,95,100,28.0,1.5600346768018027,1.2524017339907727,-53.38751218194977,0.5962433163882389,243.5069834478048,706.0656741036177,77.92770020602134,11968.210083120186,,0.19719622094664102,3.331141742974019
10,11,437.94285065634006,101.16643341283869,,437,439,100,103,10.0,0.9934349906676088,0.7588724204762171,-63.75521351554078,0.6453496102863423,410.0169408664414,603.6515702044669,-74.02400378725434,5044.471740258183,,0.23611265195497178,2.0815866186093595
11,12,55.94659858322134,110.78279896127378,,49,62,102,118,151.0,4.187399291063582,2.458752331704627,-56.44009992249578,0.8094572189326061,390.8055207128946,1096.3000018231533,-113.16741361653095,98521.97325761073,,0.41282114248051227,8.085605765723896
12,13,433.4710831918076,106.96874052983898,,432,435,106,108,10.0,1.0485191420058892,0.6593052289355136,-27.075750428632347,0.7775698598287514,370.62207310157993,645.8451928120371,-52.98716965761179,4870.927132925865,,0.37120344062177313,2.0623678614034597
13,14,394.51190086749637,133.7908444687648,,386,402,124,142,225.0,4.618739812985262,2.774295900261265,-58.58387921498172,0.7995039815759908,450.10920111516276,2863.639309549203,-133.2723960088784,266281.78363134357,,0.3993392109983058,8.971443337519883
14,15,234.38053235964787,137.8811060525784,,233,235,136,139,8.0,1.103818197372251,0.5820525289785644,-66.1132805251022,0.8496740118163024,110.2896516783834,219.17413997641916,252.43550248211181,1246.250333330836,,0.47269167117900546,2.0778533372261583
15,16,423.4774027612377,147.96482272560374,,414,431,138,156,227.0,4.426851095542946,2.814218547577475,-57.17551390807918,0.7719233154273051,462.82900217626656,3569.458114383856,-188.16493179673586,372220.223814499,,0.364284344144556,8.734579038690903
