,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,ellipticity,fwhm
0,1,293.16212695671015,8.91633448239628,,291,297,5,12,38.0,1.5694890543728526,0.6477979338975656,-53.602030787720594,0.9108468583353434,0.0,7422.353187591527,0.0,23934.489658670587,,0.5872555261900714,2.827225059681816
1,2,388.2281408678927,12.057683270142975,,386,390,10,14,22.0,0.8196447597953553,0.7149543863027196,-76.33996125739188,0.4890183816100231,0.0,45505.99111389729,0.0,105218.98208329825,,0.12772652083906977,1.8110520531918182
2,3,212.80118033393265,22.138379482515834,,211,214,20,24,19.0,0.7385409305610032,0.6380932882785474,-42.28018179170028,0.5035059240994154,0.0,4303.89790080195,0.0,5878.111585183187,,0.13600822666139134,1.6251719789058614
3,4,115.96328818251332,25.176582283767576,,114,118,23,28,29.0,0.9180772439376843,0.7512652637789121,76.89076941181018,0.5747872449616585,0.0,2944.0245789217583,0.0,7413.0345319035105,,0.1816971080159947,1.9752893362940749
4,5,122.71498616314638,34.611594032933596,,120,125,31,37,40.0,1.1516954898240246,1.0931109967995065,-69.70705811883859,0.3148785857957393,0.0,64999.999999999985,0.0,658207.4970297597,,0.05086804067754891,2.64395758910043
5,6,158.79811016709525,32.656372308643014,,157,160,31,34,16.0,0.7552734618120748,0.6807154052797547,-63.49474849569637,0.43323007796669766,0.0,269.648797159533,0.0,560.4853570976832,,0.09871663748576331,1.6930251058581922
6,7,95.53825725465981,33.940395970869176,,94,97,32,36,20.0,0.8003377391669337,0.6976707134081571,-41.84164662162117,0.4900036625840916,0.0,1810.6599707584394,0.0,4530.478381305144,,0.12827962588099628,1.7679076500042945
7,8,185.1264006689275,38.550673982268705,,181,188,35,42,55.0,1.3760972655999946,1.2037719526627368,-48.19825305815946,0.48453399363261035,0.0,64999.999999999985,0.0,1002088.9999167534,,0.12522756729853823,3.0443327194741463
8,9,230.0,45.0,,229,231,44,46,9.0,0.5688292519459035,0.5688292519459035,2.9634599201782745e-14,1.4901161193847656e-08,0.0,61.13287226791935,0.0,61.13287226791935,,0.0,1.3394905246821738
9,10,307.18668320070446,47.2893522092218,,305,309,44,50,33.0,1.1871618892736948,0.7066727196919019,-83.43857239763253,0.803531450025253,0.0,4544.1938512174565,0.0,13063.249718681036,,0.4047376974641226,2.300467370303033
10,11,273.8854553598553,56.995089459975695,,271,279,55,59,41.0,1.0124090312950678,0.7504775239143713,-18.04931119115099,0.6711970565110004,0.0,13831.82072194982,0.0,38260.2365259644,,0.2587210300224556,2.098426479952753
11,12,190.0043312597366,62.39582858604214,,187,194,59,66,53.0,1.4407973382677894,0.9600894976887646,-42.43116190563156,0.7456303043658754,0.0,378.0678025591342,0.0,2877.8069944602667,,0.3336401503607439,2.88293301091236
12,13,439.01403361698283,64.17387186452596,,437,441,62,66,22.0,0.7426392454125441,0.6632766157646739,-86.49400762596629,0.4497899981128477,0.0,12940.822070095752,0.0,20553.169235960202,,0.1068656553476155,1.6579746947103409
13,14,28.0,67.0,,27,29,66,68,9.0,0.5688292519459035,0.5688292519459035,45.0,0.0,0.0,49.58164744758143,0.0,49.58164744758143,,0.0,1.3394905246821738
14,15,205.91042646097597,70.89810862024098,,200,209,68,75,53.0,1.0702591208800172,0.8369476644701895,-30.706826867623104,0.6232725300046108,0.0,28617.186991051116,0.0,136467.914605116,,0.21799529838903686,2.262304417412523
15,16,332.3674837272231,71.28319271055781,,330,334,69,73,22.0,0.8517707276755669,0.681992420135909,-45.904583359461206,0.5990975429542517,0.0,14107.99605495152,0.0,43643.237557217464,,0.19932395188429775,1.8168982046019233
16,17,367.19766436196113,70.69761594559023,,365,369,69,73,23.0,0.8352123793569801,0.7278457009506294,-13.816558820275507,0.4904846201501613,0.0,27183.250314710505,0.0,69229.61515876978,,0.12855015210503828,1.8446968585529069
17,18,402.7237149182341,73.67634564482164,,401,405,72,76,24.0,0.813216979042678,0.7205445350122501,-39.94967452342619,0.46360465577855925,0.0,22661.539290486893,0.0,60805.49489693604,,0.11395783218830746,1.8091595849560016
18,19,268.34714669911324,76.2555409253129,,265,271,73,79,41.0,1.2450312359409974,0.878326358092534,-42.1883315206432,0.7087444416820394,0.0,53005.57768573574,0.0,387210.06998854165,,0.294534680948231,2.5370713411805994
19,20,156.64048630581493,77.70939617557922,,155,159,75,80,27.0,0.8661648063137358,0.7048142636913975,-47.80610901948297,0.5812592550726153,0.0,9415.390695208966,0.0,29444.839579504915,,0.1862815730288343,1.859416828052803
20,21,246.1539957373591,78.38676866744872,,243,249,76,81,38.0,0.9901817416746038,0.853298939265594,-16.017296320487304,0.507316310533449,0.0,24084.10321565377,0.0,107468.15272356075,,0.13824007921769244,2.1765079276560693
21,22,247.23606582062774,86.85237316526108,,245,250,84,90,38.0,1.1191028343543556,0.9440948611803146,-89.22937405830704,0.5369444328791813,0.0,143.8526724039383,0.0,925.4446072732957,,0.1563823875712087,2.4379531993862145
22,23,325.65193952517126,89.03450959522576,,324,328,87,92,28.0,0.8430143935011836,0.784742481508137,-75.638131738002,0.36533342928640006,0.0,12775.859883683594,0.0,39010.35190395075,,0.06912327054231349,1.9177649458451949
23,24,401.6287174475757,96.11438123087018,,398,404,93,99,42.0,1.2664796945840098,0.9641138360881678,-38.30272514775648,0.6484527908055588,0.0,61071.69625276257,0.0,491268.3799218075,,0.23874512934465764,2.6503425362048234
24,25,358.4673391606547,98.21257395193824,,354,362,95,101,45.0,1.4873848203006397,0.7257343844132018,-34.58396336195656,0.872884749801914,0.0,7916.850136666963,0.0,38634.48093375645,,0.5120735572207118,2.7557451989660207
25,26,227.86495143960482,100.75286537698854,,225,231,98,103,37.0,1.0096421178976807,0.8102014717577978,-28.66934104006803,0.5967005095409701,0.0,1731.1134672538035,0.0,7581.410069532898,,0.19753598092279134,2.1555310826330207
26,27,391.31018871433935,100.3406574771283,,389,395,98,102,34.0,0.9885509740304927,0.8089125917620155,0.7013541566585836,0.5748182489456378,0.0,13702.864107803145,0.0,53259.07205111745,,0.18171888651938772,2.126894406464136
27,28,144.95786016429562,106.71261167689946,,142,148,102,112,62.0,2.0424063362171876,0.8330138348282016,-80.27312311601132,0.9130449192447428,0.0,11530.01923021969,0.0,110512.87213977979,,0.5921409858279936,3.672815659331365
28,29,103.39286210985144,105.99176873501277,,100,106,103,109,39.0,1.2531049690828693,0.8710311549588997,-37.81757880729462,0.7189146888100881,0.0,64377.201524514574,0.0,466577.3332945952,,0.30490168305980325,2.5411156155326564
29,30,256.81704784520963,107.10515022121368,,251,260,104,112,60.0,1.3805409157411919,0.8236319921114106,-34.09261823806216,0.8025380565168875,0.0,24160.141702852987,0.0,137737.92643489514,,0.4033990715376843,2.6767700895173654
30,31,435.0707422091498,105.48777641861305,,434,437,104,107,16.0,0.7603520716242576,0.6201503817364147,-81.01774387883736,0.5786027347708894,0.0,5962.4703469955,0.0,12341.645089219379,,0.18439048845930706,1.6337782954871802
31,32,55.496378791236275,111.57470990018496,,50,58,108,117,62.0,1.6837165156907021,0.8052406869917823,-50.24577597744959,0.8782226845267664,0.0,17929.87598175855,0.0,92348.13807386473,,0.5217480618098869,3.1076995912983625
32,33,396.54590087898697,114.20931805276561,,394,399,111,117,31.0,1.1186075496263366,0.6703274564710408,-58.598758392622784,0.8005606914526952,0.0,64.10052025340752,0.0,231.08058726078366,,0.40074831723158033,2.171433784856808
33,34,115.60450320437957,117.38665259459543,,114,118,115,119,23.0,0.8322586876926561,0.7207805892940009,-55.03347950661998,0.4999512496950427,0.0,12404.59533180327,0.0,33084.43903022733,,0.13394645204331324,1.8332687547031077
34,35,149.93823935436683,118.78817385581118,,146,153,115,122,47.0,1.1028267602524016,0.8917651135426511,-55.24780373258932,0.5883345972358799,0.0,27486.027491301873,0.0,152032.5272345201,,0.19138241319193705,2.361563941962273
35,36,26.526326528495247,118.95080302231105,,25,28,117,121,19.0,0.7719341557389567,0.6481827001901895,-21.212848185365953,0.543071411860457,0.0,12206.271653870148,0.0,27669.06545716458,,0.16031348610336138,1.6783963588102715
36,37,373.95812434935505,121.72542049240909,,371,376,119,125,35.0,1.2145389291260174,0.8035643252014876,-55.784883975620225,0.7498385160309509,0.0,42453.15465391472,0.0,244112.8401028312,,0.33837911166854673,2.424904703334013
37,38,252.7154388354153,126.33234791076544,,250,256,123,131,52.0,1.2283916380982387,0.9337026239235034,-66.00859047574147,0.6498040796073884,0.0,2191.0631516791773,0.0,14654.020678145036,,0.23989825804330978,2.5692082810883554
38,39,394.0132686920379,134.4223807978464,,390,397,131,138,48.0,1.3614775954837879,0.8085479941201339,-54.96158060382951,0.8045570579070237,0.0,35452.540171853456,0.0,243228.94591932383,,0.4061246422253286,2.636647272450496
39,40,330.9575225256412,134.57615349402738,,328,334,132,137,39.0,0.9768114313363574,0.8540441201461186,-3.6920511183631173,0.4853529563536539,0.0,18789.28626091348,0.0,91413.5272239691,,0.12568168968117321,2.1605085278026945
40,41,16.79253136814594,139.1497254410572,,15,19,137,141,22.0,0.7717534999157033,0.663248820488415,-43.66189314836031,0.5112954501107039,0.0,24098.64688923898,0.0,36791.78865574201,,0.1405949949551767,1.694409174140255
41,42,331.1410484404011,145.1261792734975,,329,334,141,149,45.0,1.3712180469404673,0.794253279475805,-73.9366869695008,0.8151627862864163,0.0,1468.5470703709302,0.0,6540.913440166612,,0.4207680673048433,2.6385951445940314
42,43,179.15536603766498,149.3509054967709,,174,184,146,154,67.0,1.464892438434631,0.825070979155977,-32.184820196497824,0.8263003486543498,0.0,6715.489404825481,0.0,39902.966770508385,,0.43677026550997866,2.7994898450701866
43,44,422.81498614125707,148.57904654367428,,420,425,146,151,32.0,1.1459601693396382,0.8600254852451543,-46.442246671211784,0.6608879112101727,0.0,54677.202007371605,0.0,336409.66055092943,,0.24951537736189755,2.3857410119423466
44,45,154.6464714946504,156.7495910892566,,152,157,154,159,34.0,0.97439780750067,0.8404488889449262,-47.924077486104046,0.5060032198188836,0.0,3178.0877080932787,0.0,12889.700557817745,,0.1374684112840142,2.14263096210941
45,46,375.0376684825314,163.45089299754983,,372,377,160,167,39.0,1.1424116745381367,0.7589005288754442,-65.48704422829832,0.7474688184242083,0.0,18691.058631395106,0.0,75959.20877794917,,0.33570310441526385,2.283710772728583
46,47,149.28960598375016,164.69072806654648,,147,152,161,168,45.0,1.4298234171832576,0.8123788786904617,-65.17333238168432,0.8229130843689448,0.0,8595.44167408611,0.0,55237.48490026595,,0.4318327221896795,2.7382590528153394
47,48,8.49301938357027,172.49264632808564,,7,10,169,175,26.0,0.8448163492755694,0.7506377426734822,-75.00334479674501,0.45883440618703264,0.0,4904.68120684517,0.0,18313.86461938518,,0.1114782007744588,1.8817735808126006
48,49,357.05406606606147,171.7321877453353,,353,360,170,175,39.0,1.0579380529481452,0.7627212998624936,-26.22490685357685,0.6929862369285557,0.0,14275.886938216667,0.0,52188.42864566897,,0.27904918654071864,2.1716603853878165
49,50,22.86868658794677,173.19556876251346,,20,25,171,176,31.0,0.9915550845401419,0.8627888875740184,-40.138988856081575,0.4928096883218514,0.0,59051.70250574177,0.0,299499.7036406734,,0.1298628779921409,2.1885807905440307
50,51,369.0,172.4232153265989,,368,370,171,174,12.0,0.7534393351823491,0.5688292519459035,-90.0,0.6557514498441526,0.0,0.43626856591238095,0.0,0.7563803027910643,,0.24502315530389163,1.5719526643795207
51,52,4.578084755582724,182.94407744399408,,3,6,179,186,29.0,1.198447840826624,0.7048906668275113,-74.089267372054,0.808737561535181,0.0,25834.396162838424,0.0,128277.58788656566,,0.41183033352430576,2.3151294916829266
52,53,105.46628179186237,195.9441717174194,,103,108,193,199,41.0,1.0728745453098945,0.9104174301375089,-58.943715728434945,0.5290707529343132,0.0,3077.2960791179453,0.0,11728.718516456793,,0.15142228500300625,2.342968842156595
53,54,440.2454874498255,195.1686653892501,,438,442,194,197,19.0,0.7573262059664789,0.6670080877823161,-22.528295513676298,0.4735986115833369,0.0,5909.971645317565,0.0,10861.912522285216,,0.11925920095278009,1.6803936866876368
54,55,416.77818722142587,202.0698550342382,,414,422,200,208,51.0,1.304481347948708,0.7595491829788489,44.28375116771788,0.8130016113572812,0.0,7976.279371244256,0.0,23738.15191724525,,0.4177385639332927,2.5134803295522046
55,56,10.063466904370042,202.84054131060049,,8,12,201,205,25.0,0.8020933741146188,0.7019074000724562,-83.2188921282562,0.48395230601193856,0.0,20453.604822574554,0.0,39575.46253988859,,0.12490562480054357,1.774750069281471
56,57,20.83112508107381,210.6250554677697,,15,25,208,213,51.0,1.5863453181667868,0.7431182736348249,-15.148948782898893,0.8834917447876391,0.0,20564.77865225341,0.0,141561.65021579573,,0.5315532720873236,2.91689698664201
57,58,336.9274668079415,213.7943124044877,,330,340,210,222,78.0,1.1139880324876816,0.9137798778119253,-41.8299282309234,0.5719650330533872,0.0,22396.782867272024,0.0,123659.7890967268,,0.17972199775671316,2.39912309106431
58,59,397.13533749461095,219.34178722510703,,395,399,218,221,20.0,0.800140857169449,0.7211118277053373,-29.154776448092203,0.43333877969451257,0.0,701.9505591115998,0.0,1457.8643455944355,,0.09876889644616094,1.7935534905866242
59,60,84.20063063606605,222.0082284599732,,80,87,219,225,50.0,1.2599602240140482,1.0641524105326299,47.38358425359153,0.5354103468959213,0.0,545.7571934323693,0.0,4248.5373830901935,,0.1554079325279042,2.746128155634029
60,61,114.62103001901077,226.6643322020685,,110,120,224,230,70.0,1.7228804544727525,1.0648395623069105,-1.7967199050500342,0.7861327222909391,0.0,853.9876399001835,0.0,9139.56997439381,,0.38194228186726986,3.3724938009543197
61,62,6.553984816884389,242.8191131922721,,3,10,230,248,99.0,2.614302427558043,1.0908663769410814,76.04830326951492,0.9087831949027534,0.0,64999.999999999985,0.0,1753528.1166043405,,0.5827313758951624,4.716865797674825
62,63,48.4063613839318,237.0010003450266,,47,50,235,239,20.0,0.7769672442220086,0.6679618224583607,-29.79091868175942,0.5107926079163918,0.0,10995.502923569251,0.0,21966.864399371174,,0.140296032521676,1.7061082338551619
63,64,442.6670893488584,242.01099869410473,,441,444,240,244,18.0,0.7530710882133442,0.638199969821984,-21.500574177903843,0.5308542828697779,0.0,2448.1192669999073,0.0,3949.0388877094724,,0.15253688554674316,1.6436705191676602
64,65,117.83887055204885,255.6406262130865,,116,120,254,257,20.0,0.8698507627882812,0.6974611876662838,-29.948997277971827,0.597569569571761,0.0,13.349346631963154,0.0,41.92522107605781,,0.19818293263249853,1.8564978128898395
65,66,7.838732636340992,260.73503182999434,,6,10,258,263,28.0,0.8633148291813484,0.7293727541141708,-89.17184878066112,0.5350010171522256,0.0,4923.858681457795,0.0,12093.386161649778,,0.15514858605427895,1.88186597785553
66,67,72.49762614638958,262.05664133775997,,70,75,259,264,31.0,0.9834751328028262,0.8083254296627982,-58.72019123674757,0.5696212124002279,0.0,36673.974393391254,0.0,170042.80072948337,,0.17809266070700258,2.1197391965764067
67,68,348.6422113165917,261.6810041707411,,346,351,260,264,26.0,0.842343487206002,0.7114436493589051,-30.828831467779175,0.5353971965265039,0.0,13023.392899635928,0.0,40338.24448986273,,0.15539959628735667,1.835925157465718
68,69,9.519202964319382,269.4490577128793,,8,11,267,271,20.0,0.825132784052064,0.7570930374709332,89.50310455745397,0.3976415287710123,0.0,9329.896726272389,0.0,35664.218475261725,,0.0824591482682352,1.8646502263592242
69,70,360.25581896671645,271.04735219051895,,358,363,269,273,28.0,0.8713176406704263,0.8478206301774557,-72.61859672701671,0.2306668595243584,0.0,31460.43776847522,0.0,113024.43188882018,,0.026967215394481214,2.024319686795431
70,71,435.1067096827279,272.1603908045421,,433,437,270,274,24.0,0.9964288617768886,0.7415933294464133,-45.14999768116113,0.6678998584964593,0.0,38081.179315300506,0.0,132981.04412284965,,0.25574884681284527,2.068244721259512
71,72,415.6279868011082,281.93048109691796,,412,419,279,284,42.0,1.246110346476633,0.9447711995492107,-29.779171683408276,0.652049736716141,0.0,58931.09433647409,0.0,467428.89508334757,,0.24182380619778676,2.603851576560947
72,73,144.71028338448482,285.92709449342647,,140,149,282,290,81.0,1.5819560046720993,1.2631838755308573,-40.43198526935515,0.6020015117896838,0.0,1232.5719853843684,0.0,15118.917692898583,,0.20150505336418356,3.370856545639064
73,74,88.82212480345218,286.209625848249,,86,91,284,289,32.0,1.0820122141206499,0.7907314024965175,-47.546906474582485,0.6825947402222362,0.0,47905.88867571485,0.0,235997.66008739098,,0.2692028868277203,2.231498957076097
74,75,436.9361010663576,286.96083988804435,,435,439,285,289,24.0,0.8917464011336629,0.749666391249905,-64.60360532267046,0.5415443521944675,0.0,40844.08866147629,0.0,109689.67763717576,,0.15932781977379873,1.9398424835060295
75,76,326.69331844338217,289.09378671988895,,321,330,286,294,67.0,1.4747730428390973,1.05247321261894,-59.885412447781405,0.700501458209223,0.0,63486.74131938519,0.0,671675.6368860865,,0.2863490299545919,3.0168615010544637
76,77,418.2892139895968,292.783693614396,,416,421,290,295,32.0,0.9493506625382253,0.8421577967596043,-73.79433693863895,0.46159990918413873,0.0,33134.79230019655,0.0,147082.95508307504,,0.11291177223390292,2.1131124563493597
