col1_1,label_1,xcentroid_1,ycentroid_1,sky_centroid_1,bbox_xmin_1,bbox_xmax_1,bbox_ymin_1,bbox_ymax_1,area_1,semimajor_sigma_1,semiminor_sigma_1,orientation_1,eccentricity_1,min_value_1,max_value_1,local_background_1,segment_flux_1,segment_fluxerr_1,ellipticity_1,fwhm_1,col1_2,label_2,xcentroid_2,ycentroid_2,sky_centroid_2,bbox_xmin_2,bbox_xmax_2,bbox_ymin_2,bbox_ymax_2,area_2,semimajor_sigma_2,semiminor_sigma_2,orientation_2,eccentricity_2,min_value_2,max_value_2,local_background_2,segment_flux_2,segment_fluxerr_2,ellipticity_2,fwhm_2,Separation
4,5,122.71498616314638,34.611594032933596,,120,125,31,37,40.0,1.1516954898240246,1.0931109967995065,-69.70705811883859,0.3148785857957393,0.0,64999.999999999985,0.0,658207.4970297597,,0.05086804067754891,2.64395758910043,3,4,123.10357089966556,33.660631491451525,,112,133,19,44,411.0,4.6868407467174125,3.8025873655668825,-71.45309126938207,0.5845846199446445,297.4944366397753,7734.219358344996,-120.84956100387143,747638.5746807734,,0.18866725560706255,10.049613125526342,1.027291513036936
15,16,332.3674837272231,71.28319271055781,,330,334,69,73,22.0,0.8517707276755669,0.681992420135909,-45.904583359461206,0.5990975429542517,0.0,14107.99605495152,0.0,43643.237557217464,,0.19932395188429775,1.8168982046019233,84,85,331.9612668519554,71.8343073431917,,327,336,67,76,67.0,2.3932869462668154,1.9179904091353248,-49.79791875994357,0.5981230435481805,396.71765409871307,1142.8049818222678,-142.2908091450822,40719.3016459833,,0.19859571702126444,5.106895581360533,0.6846455199995451
19,20,156.64048630581493,77.70939617557922,,155,159,75,80,27.0,0.8661648063137358,0.7048142636913975,-47.80610901948297,0.5812592550726153,0.0,9415.390695208966,0.0,29444.839579504915,,0.1862815730288343,1.859416828052803,14,15,156.9756731013615,76.99991469286668,,152,162,71,82,71.0,3.505698836761502,1.4971214917813076,-52.783402703908166,0.904226287018671,343.0941568528248,650.8131851220185,-118.76506520113361,32270.48521670455,,0.572946347791723,6.347386111285099,0.784674558158194
23,24,401.6287174475757,96.11438123087018,,398,404,93,99,42.0,1.2664796945840098,0.9641138360881678,-38.30272514775648,0.6484527908055588,0.0,61071.69625276257,0.0,491268.3799218075,,0.23874512934465764,2.6503425362048234,102,103,401.1363328012073,96.03827218008644,,385,411,84,108,403.0,5.6259437471909335,3.559038226355391,-39.467709797786135,0.7744690760055283,334.35162686906693,5449.236919491172,-115.15122897480485,613080.0292366704,,0.36738823097325857,11.084925633442289,0.4982321021276566
24,25,358.4673391606547,98.21257395193824,,354,362,95,101,45.0,1.4873848203006397,0.7257343844132018,-34.58396336195656,0.872884749801914,0.0,7916.850136666963,0.0,38634.48093375645,,0.5120735572207118,2.7557451989660207,113,114,358.898675014044,97.58632554510682,,355,363,94,101,54.0,2.2142582099248296,1.7400992593979216,-47.091082146464714,0.6184031258090382,279.7530769201209,815.2969304936092,-31.303556183970233,23594.348181813803,,0.21413896012742106,4.689251742036356,0.7604194141905802
27,28,144.95786016429562,106.71261167689946,,142,148,102,112,62.0,2.0424063362171876,0.8330138348282016,-80.27312311601132,0.9130449192447428,0.0,11530.01923021969,0.0,110512.87213977979,,0.5921409858279936,3.672815659331365,119,120,145.43134097057134,106.06654842254228,,138,153,96,116,188.0,4.678335002234322,2.58958958140903,-64.07010758468877,0.8328305435914083,298.98636211981466,1160.9561607384544,-73.80611680276422,125974.78867414703,,0.4464719648823202,8.90371014136522,0.8009880164784517
34,35,149.93823935436683,118.78817385581118,,146,153,115,122,47.0,1.1028267602524016,0.8917651135426511,-55.24780373258932,0.5883345972358799,0.0,27486.027491301873,0.0,152032.5272345201,,0.19138241319193705,2.361563941962273,120,121,150.44164965865698,117.88297119316886,,143,157,107,127,224.0,4.708529505200166,2.8800143223216743,-66.21851439849239,0.7911215459919866,203.33630937785176,1863.0480698831445,-2.172099358022127,156850.5589075042,,0.3883410268235664,9.190548080914105,1.0357672493954717
38,39,394.0132686920379,134.4223807978464,,390,397,131,138,48.0,1.3614775954837879,0.8085479941201339,-54.96158060382951,0.8045570579070237,0.0,35452.540171853456,0.0,243228.94591932383,,0.4061246422253286,2.636647272450496,17,18,394.54633097574407,133.70342943257663,,386,402,122,142,254.0,4.708878427425323,2.9511103070667706,-59.965070124745736,0.7792510196061834,356.5718833934414,2861.43273564108,-131.06582210075538,278148.5857405949,,0.3732880658207285,9.253362386097143,0.8950119909438513
39,40,330.9575225256412,134.57615349402738,,328,334,132,137,39.0,0.9768114313363574,0.8540441201461186,-3.6920511183631173,0.4853529563536539,0.0,18789.28626091348,0.0,91413.5272239691,,0.12568168968117321,2.1605085278026945,141,142,331.60999869302077,134.89613793336693,,325,337,126,146,165.0,4.56014690521199,2.562757467408397,-70.3416539887979,0.8271439503811596,261.2900954975292,1164.093794282008,-38.68227709091269,93013.29806689832,,0.43800988856755696,8.710075668264398,0.7267153434583483
43,44,422.81498614125707,148.57904654367428,,420,425,146,151,32.0,1.1459601693396382,0.8600254852451543,-46.442246671211784,0.6608879112101727,0.0,54677.202007371605,0.0,336409.66055092943,,0.24951537736189755,2.3857410119423466,18,19,423.4816255255989,147.9451941069004,,414,431,138,156,245.0,4.472194927747698,2.8808992231310926,-56.38359253814736,0.7648737984173365,426.89991508433246,3569.458114383856,-188.16493179673586,380603.07736243604,,0.35581984469045036,8.858022337971558,0.919878785688531
49,50,22.86868658794677,173.19556876251346,,20,25,171,176,31.0,0.9915550845401419,0.8627888875740184,-40.138988856081575,0.4928096883218514,0.0,59051.70250574177,0.0,299499.7036406734,,0.1298628779921409,2.1885807905440307,20,21,23.351630835021055,172.6204521286706,,14,31,162,181,252.0,4.488321800855774,2.869806866997326,-59.95608122623246,0.7688791024336599,323.22682216982696,4276.097316021108,-139.28645327845265,333160.63082024857,,0.3606058134133454,8.87064556086251,0.7509955314813131
61,62,6.553984816884389,242.8191131922721,,3,10,230,248,99.0,2.614302427558043,1.0908663769410814,76.04830326951492,0.9087831949027534,0.0,64999.999999999985,0.0,1753528.1166043405,,0.5827313758951624,4.716865797674825,262,263,6.835692364733907,242.24725195683484,,0,19,225,261,559.0,5.458925022406519,3.831584066364779,-88.50012343327742,0.7122818929857492,301.50495348254265,19365.160917671248,-84.56614456142805,2001934.7702326097,,0.2981064860503142,11.105279759125235,0.6374828743670115
63,64,442.6670893488584,242.01099869410473,,441,444,240,244,18.0,0.7530710882133442,0.638199969821984,-21.500574177903843,0.5308542828697779,0.0,2448.1192669999073,0.0,3949.0388877094724,,0.15253688554674316,1.6436705191676602,271,272,443.52318368883573,242.3032518430034,,440,447,238,246,44.0,1.9362126112994325,1.8289806382732616,55.88403338787216,0.32817291872609916,438.33886041435096,915.8543497846426,-204.11790052298568,27257.192719546074,,0.05538233373772172,4.434973777524201,0.9046045666380658
66,67,72.49762614638958,262.05664133775997,,70,75,259,264,31.0,0.9834751328028262,0.8083254296627982,-58.72019123674757,0.5696212124002279,0.0,36673.974393391254,0.0,170042.80072948337,,0.17809266070700258,2.1197391965764067,33,34,72.84438675653121,261.24236849460556,,65,79,250,269,201.0,4.499514767929311,2.63517076465428,-64.29043319395139,0.810559241112847,257.9715328800482,2588.3835437632138,-62.78738965652569,176587.33419509197,,0.4143433457677054,8.682512118292646,0.8850328716180921
