,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,ellipticity,fwhm
0,1,226.76955591094517,7.300844017579819,,224,230,5,11,44.0,1.0059888632064102,0.8695568923246215,5.465174937228932,0.5028387468384368,0.0,526.235457293715,0.0,1631.791529030649,,0.13561976267504205,2.2141212108560944
1,2,337.539437714099,11.568338136693225,,334,342,9,15,52.0,1.1008041814210794,0.9145260508097396,35.81076024992046,0.556600990467366,0.0,348.5250243541043,0.0,1430.6912157417378,,0.16922004272446045,2.3829846586116887
2,3,23.314809187696163,14.959772032260442,,20,26,12,18,43.0,0.9956294675039499,0.8474330928339989,83.50916413830466,0.5249175419126368,0.0,205.608641944519,0.0,920.9855030701107,,0.14884691494867097,2.177044111370948
3,4,162.11204406215438,16.3147887674551,,159,165,13,19,42.0,0.9947905259777216,0.9415698194716052,-19.967842242772953,0.3227020819373035,0.0,345.6154621147093,0.0,1842.8750333333908,,0.053499410294251426,2.2807510535023727
4,5,219.9233590319325,17.01064299093882,,217,224,13,20,53.0,1.164189271899008,0.9687497714626203,-25.29720073451492,0.5545897020137509,0.0,120.91669319383907,0.0,573.4302358102251,,0.16787605345099055,2.5218642798892925
5,6,202.96414852772057,17.853273592252176,,199,207,14,21,59.0,1.3712113463365072,0.9335029579976681,-29.130879257961148,0.7324813732571253,0.0,210.21748149260196,0.0,937.7977096574889,,0.3192129276849067,2.7620986811322266
6,7,49.57921065568834,23.07748807941402,,47,53,20,26,42.0,0.9896198509554701,0.79514046060095,-30.81266170687067,0.5953307891035601,0.0,152.39561921010446,0.0,462.39176155378556,,0.1965192898735325,2.113833565827653
7,8,172.9654936720848,24.905817956338538,,170,176,21,28,48.0,1.3011145287458084,0.8761722430508438,-89.79262683185108,0.7392771200520954,0.0,211.17574243231664,0.0,1072.074514292153,,0.3265986785226216,2.611927933801471
8,9,249.3859853161014,22.513165961882116,,248,251,21,24,16.0,0.7604343242482327,0.7454531397391974,-62.32386201538623,0.1975184294623068,0.0,1.760377533945022,0.0,5.427048572522866,,0.019700826266417892,1.7731347306862426
9,10,346.6350678038367,33.41168379012096,,343,350,30,37,53.0,1.3094243800045202,1.0080171583161925,-17.55086859208334,0.6382646585178064,0.0,48.565274918891106,0.0,348.60191547434835,,0.2301829920772418,2.7515600141729992
10,11,157.88519925052523,35.827139263319694,,155,160,34,38,27.0,0.9598678567322192,0.7946759314058183,28.15887594582127,0.5608736852889177,0.0,5.198578076819923,0.0,19.571471048699063,,0.17209861145760363,2.0749533528327215
11,12,28.824704908583605,36.82633405396032,,27,31,35,39,24.0,0.9330891950836272,0.8530584423535498,-44.632509817459876,0.40519489689138255,0.0,2.5797394692068734,0.0,11.55117343156304,,0.08576967041495398,2.1051381004611187
