col1_1,label_1,xcentroid_1,ycentroid_1,sky_centroid_1,bbox_xmin_1,bbox_xmax_1,bbox_ymin_1,bbox_ymax_1,area_1,semimajor_sigma_1,semiminor_sigma_1,orientation_1,eccentricity_1,min_value_1,max_value_1,local_background_1,segment_flux_1,segment_fluxerr_1,ellipticity_1,fwhm_1,col1_2,label_2,xcentroid_2,ycentroid_2,sky_centroid_2,bbox_xmin_2,bbox_xmax_2,bbox_ymin_2,bbox_ymax_2,area_2,semimajor_sigma_2,semiminor_sigma_2,orientation_2,eccentricity_2,min_value_2,max_value_2,local_background_2,segment_flux_2,segment_fluxerr_2,ellipticity_2,fwhm_2,Separation
1,2,337.539437714099,11.568338136693225,,334,342,9,15,52.0,1.1008041814210794,0.9145260508097396,35.81076024992046,0.556600990467366,0.0,348.5250243541043,0.0,1430.6912157417378,,0.16922004272446045,2.3829846586116887,2,3,337.81977118497974,11.39628636436414,,334,342,7,16,50.0,2.3738649993598657,1.717700839849804,65.44544309843592,0.6902318688243525,10.80738890853175,42.585510856773936,0.0170058952762826,1276.7378994060798,,0.27641174190065665,4.8790062027174415,0.3289204573413249
2,3,23.314809187696163,14.959772032260442,,20,26,12,18,43.0,0.9956294675039499,0.8474330928339989,83.50916413830466,0.5249175419126368,0.0,205.608641944519,0.0,920.9855030701107,,0.14884691494867097,2.177044111370948,8,9,23.024860654199674,14.919822000335238,,20,26,11,19,32.0,2.0096277383940984,1.463659909284363,83.30975568040647,0.6852330250647036,-4.024700792751955,40.30349343403914,0.713985057459223,770.8754421278048,,0.2716761013390572,4.139698619439833,0.29268781513344433
3,4,162.11204406215438,16.3147887674551,,159,165,13,19,42.0,0.9947905259777216,0.9415698194716052,-19.967842242772953,0.3227020819373035,0.0,345.6154621147093,0.0,1842.8750333333908,,0.053499410294251426,2.2807510535023727,9,10,162.21641278807525,16.07804863295722,,157,168,11,20,60.0,2.445874110522914,2.0459353409635357,69.15674566259626,0.5479908605106364,11.761874536073593,59.38285169765473,-0.1061847369126549,1703.8604131935833,,0.16351568048360166,5.3096235655297095,0.25872518669897243
4,5,219.9233590319325,17.01064299093882,,217,224,13,20,53.0,1.164189271899008,0.9687497714626203,-25.29720073451492,0.5545897020137509,0.0,120.91669319383907,0.0,573.4302358102251,,0.16787605345099055,2.5218642798892925,10,11,219.44117295988573,17.49147006136228,,217,222,15,19,16.0,1.7381364730306168,1.1197355827589033,-11.58475432302304,0.7648434840522846,14.446371098295906,32.28514216395455,2.399467718004935,348.76260213360285,,0.35578385234242793,3.44276227743469,0.6809538014637271
6,7,49.57921065568834,23.07748807941402,,47,53,20,26,42.0,0.9896198509554701,0.79514046060095,-30.81266170687067,0.5953307891035601,0.0,152.39561921010446,0.0,462.39176155378556,,0.1965192898735325,2.113833565827653,12,13,49.99044848980762,22.439314635643388,,48,52,19,25,12.0,1.925886978260314,0.7171111569314618,-62.84198291560504,0.9280908987677684,14.04371582151488,35.84329914237034,2.0548488261676283,267.21267180915925,,0.6276462923181296,3.421906432208848,0.7591981958258217
7,8,172.9654936720848,24.905817956338538,,170,176,21,28,48.0,1.3011145287458084,0.8761722430508438,-89.79262683185108,0.7392771200520954,0.0,211.17574243231664,0.0,1072.074514292153,,0.3265986785226216,2.611927933801471,13,14,173.13056404290302,24.79644984009783,,169,177,20,30,42.0,2.5459942076304283,1.567137169737665,-86.42891556059297,0.7881130400288037,12.388766869101673,39.02879810739516,0.7817312844807838,1034.2918434251615,,0.38446946774627233,4.97809331073091,0.19801417164462884
8,9,249.3859853161014,22.513165961882116,,248,251,21,24,16.0,0.7604343242482327,0.7454531397391974,-62.32386201538623,0.1975184294623068,0.0,1.760377533945022,0.0,5.427048572522866,,0.019700826266417892,1.7731347306862426,14,15,250.01868581263784,21.787442773832762,,249,251,20,23,8.0,0.9944139691803809,0.6101517911214024,-67.61519055357331,0.7896331344590048,14.067205643344419,34.26808812760717,-0.6033911308307831,183.28067866386237,,0.3864207362007358,1.942651145988174,0.9628001163221683
10,11,157.88519925052523,35.827139263319694,,155,160,34,38,27.0,0.9598678567322192,0.7946759314058183,28.15887594582127,0.5608736852889177,0.0,5.198578076819923,0.0,19.571471048699063,,0.17209861145760363,2.0749533528327215,18,19,158.0847231167869,35.69922857874831,,157,160,35,36,6.0,1.0746385872723232,0.41487627052784787,11.368680998731634,0.9224731671631008,13.184972637275386,31.496088608190128,3.0729192567669585,129.113681925889,,0.6139387925936123,1.9181092779379847,0.23700404307843587
18,19,314.1773497894596,52.207173873420295,,311,318,48,56,61.0,1.3322819116596125,1.1246893522070993,-53.29695875650074,0.5360555523979711,0.0,66.80118774631457,0.0,457.9767900906436,,0.15581729184772675,2.9031699692026574,22,23,313.8999266609127,53.10979977214267,,312,316,51,55,11.0,1.4232359198351605,0.7289750447687601,53.49161111866184,0.8588688850604711,9.122938668690692,35.31748222450547,1.3018515442042138,244.44408729037926,,0.4878044921370519,2.6626159132174783,0.9442971488345862
19,20,351.4231357946594,55.213755811442816,,349,356,52,59,51.0,1.2562673454630098,0.8862204403120676,54.59245424242173,0.7087702732347574,0.0,208.46950821690916,0.0,1091.2235180743694,,0.29456063352069195,2.5599365096987294,21,22,351.2232483948294,54.77456319203403,,348,355,50,59,37.0,2.438034118676372,1.3063310249432554,58.7054376590108,0.844336510789856,9.096602434613056,43.937201053801864,0.8663053785624777,904.7075567476895,,0.4641867335095077,4.605618397621219,0.4825402880112194
21,22,268.80229476742153,64.18962869578196,,266,272,61,67,43.0,1.051215423603147,0.9248663799284926,64.69138494479543,0.4753316302877661,0.0,1676.5334671875955,0.0,8515.930808132103,,0.12019329324676409,2.3314096138610476,23,24,268.91243909306576,64.20244337908335,,262,277,56,71,146.0,3.0483624341921214,2.7094292029321845,67.10695474895398,0.45826685502610043,5.465982049667353,153.31406274529218,-1.1762516118118422,8304.966377525148,,0.11118534576409744,6.791016885557864,0.11088727871012333
22,23,330.64574838614357,67.04573788973221,,328,333,64,70,40.0,1.0074014280164365,0.888560062852898,77.07914357756621,0.4711899403259217,0.0,397.3409969609216,0.0,1581.8535927113671,,0.1179682317877353,2.2367051048134905,24,25,330.6190252801895,66.50451390981316,,327,334,62,70,50.0,2.0741719753280554,1.8197147334038826,-70.0664625196363,0.47990392456208425,10.30762292161172,53.97335898796277,-0.40169961436984325,1382.9801799384127,,0.12267895090228831,4.59447993792386,0.5418833092384864
23,24,26.344395020751175,68.89396144994075,,24,29,65,72,45.0,1.0680778722950266,0.9673489906931729,88.17711745374238,0.42393750468128955,0.0,503.0993690057422,0.0,1737.4650650728138,,0.09430855578480712,2.3994648030928647,25,26,26.580086511452645,68.58552933054062,,23,30,64,74,52.0,2.582958399231845,1.555092229187458,70.52268968797932,0.7984519293160289,11.763602351282763,61.5111801186922,-3.7290115198188474,1683.2265446030624,,0.39794143426780226,5.020238289601231,0.38817631440716854
25,26,247.5495141741455,95.48002605796148,,245,250,93,98,35.0,0.9846070968781326,0.881003672899421,-7.205204937452029,0.44651351915411847,0.0,601.1472150817822,0.0,2654.5231771186754,,0.10522311316585486,2.1999732868335973,29,30,247.46185884388115,95.4128118183096,,243,251,90,100,67.0,2.3540084753751995,1.968769790210835,87.77592070285118,0.5481992075743604,7.242091110108157,72.81987690879335,-1.4939071818182523,2356.9470028922888,,0.16365220822026239,5.1098537980262995,0.11045909168434369
28,29,210.35390461962004,101.30031669918507,,207,214,98,105,53.0,1.2934553183763924,1.1304686470098164,39.14561094710318,0.48594163502253757,0.0,193.17908400023856,0.0,1166.263233311627,,0.12600873725670303,2.860396924465897,30,31,209.72494412606343,100.54476273395808,,206,215,96,105,47.0,2.389084137195675,1.813393996714968,72.50680360795148,0.6510520073808661,13.180819602584886,43.28314769963328,-2.7303485688478975,1264.585899518241,,0.24096687576539533,4.994251002834691,0.9830834638143404
30,31,365.85888084463664,118.00525315742719,,363,368,115,121,38.0,1.1911679709939982,0.8096544227884743,-78.05382766035244,0.7334765693821678,0.0,526.9595187615492,0.0,1527.7599698055228,,0.3202852641237163,2.398232147390128,35,36,366.7326797470168,117.34824984773665,,362,371,112,122,58.0,2.5117252876912337,1.855737408844232,-84.50352298491265,0.673892109709904,8.815535151295848,51.434680318054376,-1.517928224808414,1633.3262928319623,,0.26117023309104903,5.199975146615823,1.093241908611752
31,32,20.21049395751556,119.37602437904684,,17,23,116,122,45.0,1.0745380778826095,0.9538517147122675,-36.81280981157516,0.46045055239677996,0.0,76.81538277318813,0.0,323.8493946276409,,0.11231464538525793,2.3924700332956674,37,38,19.884693013451837,119.37633745714274,,18,21,117,122,9.0,1.8034214975359266,0.4110798340896769,-56.91190488527137,0.9736741496922344,13.779482629711179,33.03407813173773,2.01987960595942,183.66515300696776,,0.7720555983992934,3.079919057708574,0.32580109448973144
34,35,309.488600506777,135.3075968676252,,306,313,131,139,69.0,1.5553538626287295,1.1501295369174824,85.66800975741425,0.6731951505393028,0.0,45.67800951421997,0.0,423.41176286335264,,0.2605351331602255,3.2209959863745907,43,44,309.2048445185931,135.5261835541963,,308,310,133,138,9.0,1.6594630449217933,0.6063161755091243,87.31198561312988,0.9308628105746294,12.88212929404874,25.664125686234357,5.473289661605575,148.17659762799713,,0.6346311071135069,2.941846486829427,0.3581865441028619
35,36,25.185434454384115,136.12719964877178,,22,29,133,139,48.0,1.122421246898693,1.0136982602637645,57.441244516086165,0.42935604414443207,0.0,323.40865838953073,0.0,1691.9571068152593,,0.09686469044962898,2.518344138782224,42,43,25.53862246508898,135.96017107943365,,21,32,130,140,62.0,2.5298918346139634,2.072381422960114,37.73006349156443,0.5735677683193523,3.4196650085668088,56.91187150502229,-0.4271063347176912,1626.1401481093726,,0.18084188635822085,5.445471700828163,0.3906920960050286
