,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
0,ccfbta060115.fits,2,0.0293,"(61.625245785151655, 350.58881063085204)",10242.085,10242.0702,396.902099609375,0.0,7.3294,0.3745410536444267,0.2508875039684382,4.5184,4.3172,1,1.0
1,ccfbta060115.fits,2,0.0266,"(464.8122025775832, 305.36885106720945)",72988.914,72988.8812,455.16322326660156,0.0,2.5578,0.31966649652799617,0.159558730286658,8.4748,4.6605,1,1.0
2,ccfbta060115.fits,2,0.0241,"(477.9135732586021, 27.78139818737957)",51880.047,51880.049,429.7781677246094,0.0,1.2919,0.38344733748870574,0.3716220779095728,7.0172,4.7999,1,1.0
3,ccfbta060115.fits,3,0.071,"(496.7179096460213, 259.4184089917009)",23199.215,23199.2068,422.15216064453125,0.0,0.8938,0.3178618001155754,0.2672960012208784,6.6903,4.3297,1,1.0
4,ccfbta060115.fits,2,0.0261,"(238.26495445123206, 413.66943479603486)",24684.37,24684.374,425.90321350097656,0.0,1.4393,0.4088368499043321,0.3316018603803981,7.2509,5.0555,1,1.0
5,ccfbta060115.fits,3,0.0514,"(408.04457163768353, 316.9979019496284)",35168.41,35168.4071,439.90399169921875,0.0,2.1626,0.32026710413117865,0.13182054614377503,6.5234,3.5181,1,1.0
6,ccfbta060117.fits,4,0.0878,"(178.69608695336834, 506.24283384535255)",13774.752,13774.7906,539.8187713623047,0.0,0.5879,0.2568304231752129,0.1187709423164055,5.966,2.2206,1,1.0
7,ccfbta060117.fits,4,0.0939,"(239.2604365644935, 521.4888548118615)",6375.024,6375.0437,536.5653991699219,0.0,1.1915,0.3289328775640742,0.09821717398984275,4.4705,2.1825,1,1.0
8,ccfbta060117.fits,4,0.1022,"(96.7489433131149, 90.6005067568235)",21287.621,21287.6036,535.3531188964844,0.0,1.2026,0.217196461918715,0.12426435293043969,5.8483,2.5923,1,1.0
9,ccfbta060117.fits,3,0.0496,"(495.9869204137358, 226.12588339729288)",13038.607,13038.6118,553.7246551513672,0.0,0.7058,0.24739887860829535,0.11638154650240728,5.8433,2.6372,1,1.0
10,ccfbta060117.fits,6,0.1754,"(485.08798577610656, 435.2311317998532)",5210.081,5210.0407,563.9386596679688,0.0,0.3497,0.24122837228858396,0.1270281276229267,5.0748,1.472,1,1.0
11,ccfbta060117.fits,3,0.0508,"(514.0838385402695, 402.9981989767408)",44917.336,44917.3834,592.2127380371094,0.0,0.9189,0.266391346966376,0.08810746188983831,6.0264,3.2247,1,1.0
12,ccfbte210072.fits,4,0.0849,"(471.9681271509294, 497.10957120288487)",3229.833,3229.8268,149.08863067626953,0.0,0.4,0.2857465716208383,0.05069925170800449,5.043,2.1854,1,1.0
13,ccfbte210072.fits,3,0.0473,"(94.83763927766172, 357.08827320635856)",46278.234,46278.2311,129.36182594299316,0.0,0.5134,0.21860528773987042,0.16417662930760912,6.1598,3.7405,1,1.0
14,ccfbte210072.fits,3,0.0511,"(409.36830641622515, 315.6073012831225)",46752.195,46752.1974,154.4333610534668,0.0,2.0664,0.2754810051903894,0.17176023509421479,6.1469,3.6885,1,1.0
15,ccfbte210072.fits,3,0.0511,"(184.62114034722958, 443.2472336213998)",19201.12,19201.1224,124.49954032897949,0.0,0.1743,0.28806206907400456,0.13987769376172166,6.1725,3.1139,1,1.0
16,ccfbte210072.fits,8,0.3322,"(465.8543205500107, 255.36713284253543)",3512.6233,3512.6342,135.60167694091797,0.0,1.9779,0.1828538675557252,0.0,5.0889,1.3395,1,1.0
17,ccfbte210072.fits,4,0.0841,"(115.23160055705567, 279.9211321723407)",2694.7417,2694.7421,114.66994285583496,0.0,1.2521,0.29379783400264436,0.0939745095971688,5.1655,2.0416,1,1.0
18,ccfbte210073.fits,4,0.0803,"(417.9308663939008, 268.1757918667509)",21256.621,21256.6184,145.1692352294922,0.0,0.9547,0.2765767297516648,0.1181318925566166,6.2407,2.9852,1,1.0
19,ccfbte210073.fits,4,0.0998,"(226.63221806322903, 173.92833203603678)",10033.031,10033.0327,115.3085708618164,0.0,1.1001,0.2923966664762029,0.10336546654975887,5.467,2.6081,1,1.0
20,ccfbte210073.fits,4,0.0771,"(225.45859613315184, 58.426714275502555)",14215.369,14215.3706,124.04388618469238,0.0,1.2434,0.319142097004918,0.1437597801531899,5.9914,3.0851,1,1.0
21,ccfbte210073.fits,5,0.1131,"(370.24821277089944, 428.3702340541267)",5008.8438,5008.8343,135.65189361572266,0.0,1.3564,0.052605130792868326,0.0804617216063227,5.1055,2.1135,1,1.0
22,ccfbte210073.fits,4,0.0766,"(263.99344386615763, 521.4344918113821)",12328.723,12328.7264,122.19779586791992,0.0,0.8269,0.2519574335474617,0.11244193170320893,5.8573,2.7522,1,1.0
23,ccfbte210073.fits,1,0.0103,"(276.47808682589346, 405.42596875847005)",97762.71,92546.8043,150.09906005859375,5.795437731928432,0.4616,0.314642620906858,0.2705847978402198,5.7388,4.9839,0,1.0
24,ccfbue110098.fits,3,0.0475,"(87.37432940292591, 289.0365022507628)",51488.242,51488.2332,114.12594890594482,0.0,0.3309,0.15905331165895187,0.08004369733468686,5.5871,3.1252,1,1.0
25,ccfbue110098.fits,6,0.1731,"(433.74999782664554, 16.054295162784484)",13463.0205,13463.0164,112.15359497070312,0.0,0.836,0.1769108811363551,0.013862399495446875,5.5492,2.391,1,1.0
