,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
0,ccfbta060115.fits,5,0.1401,"(61.625245785151655, 350.58881063085204)",10242.085,10242.0702,396.902099609375,0.0,7.6321,0.3745410536444267,0.2162738924081985,4.5184,3.993,1,0.9956069984217036
1,ccfbta060115.fits,10,0.5344,"(464.8122025775832, 305.36885106720945)",72988.914,72988.8812,455.16322326660156,0.0,3.4509,0.31966649652799617,0.1514631525069775,8.4748,3.8267,1,0.9545227288910537
2,ccfbta060115.fits,10,0.4868,"(477.9135732586021, 27.78139818737957)",51880.047,51880.049,429.7781677246094,0.0,2.2197,0.38344733748870574,0.28882721619326124,7.0172,3.6635,1,0.9525419126744095
3,ccfbta060115.fits,10,0.5599,"(496.7179096460213, 259.4184089917009)",23199.215,23199.2068,422.15216064453125,0.0,1.2944,0.3178618001155754,0.23413908390738525,6.6903,3.2178,1,0.9823202932020755
4,ccfbta060115.fits,10,0.5015,"(238.26495445123206, 413.66943479603486)",24684.37,24684.374,425.90321350097656,0.0,2.1821,0.4088368499043321,0.28085614224383093,7.2509,3.6202,1,0.9997248505892385
5,ccfbta060115.fits,10,0.4574,"(408.04457163768353, 316.9979019496284)",35168.41,35168.4071,439.90399169921875,0.0,2.3272,0.32026710413117865,0.09826281522158975,6.5234,2.627,1,0.9820780064971736
6,ccfbta060117.fits,10,0.5165,"(178.69608695336834, 506.24283384535255)",13774.752,13774.7906,539.8187713623047,0.0,0.6844,0.2568304231752129,0.09669715985149885,5.966,2.0084,1,0.9673364653507772
7,ccfbta060117.fits,9,0.4429,"(239.2604365644935, 521.4888548118615)",6375.024,6375.0437,536.5653991699219,0.0,1.1997,0.3289328775640742,0.0837519230934507,4.4705,2.0661,1,1.0247320110137381
8,ccfbta060117.fits,7,0.2246,"(96.7489433131149, 90.6005067568235)",21287.621,21287.6036,535.3531188964844,0.0,1.2138,0.217196461918715,0.10964001713407934,5.8483,2.1745,1,0.993933650186577
9,ccfbta060117.fits,10,0.5,"(495.9869204137358, 226.12588339729288)",13038.607,13038.6118,553.7246551513672,0.0,0.7067,0.24739887860829535,0.10364642830080828,5.8433,2.2552,1,0.9500520376995315
10,ccfbta060117.fits,8,0.3543,"(485.08798577610656, 435.2311317998532)",5210.081,5210.0407,563.9386596679688,0.0,0.3042,0.24122837228858396,0.09094862359473166,5.0748,1.4384,1,1.01
11,ccfbta060117.fits,10,0.4971,"(514.0838385402695, 402.9981989767408)",44917.336,44917.3834,592.2127380371094,0.0,0.9995,0.266391346966376,0.08006915603002307,6.0264,2.5196,1,0.9709071620737714
12,ccfbte210072.fits,10,0.4882,"(471.9681271509294, 497.10957120288487)",3229.833,3229.8268,149.08863067626953,0.0,0.3861,0.2857465716208383,0.1122585728394897,5.043,1.5297,1,1.01
13,ccfbte210072.fits,10,0.5646,"(94.83763927766172, 357.08827320635856)",46278.234,46278.2311,129.36182594299316,0.0,0.8907,0.21860528773987042,0.11149378008565736,6.1598,3.3473,1,1.0342284774594999
14,ccfbte210072.fits,10,0.4568,"(409.36830641622515, 315.6073012831225)",46752.195,46752.1974,154.4333610534668,0.0,2.381,0.2754810051903894,0.18117751915575286,6.1469,3.1572,1,0.9540433589538431
15,ccfbte210072.fits,10,0.4826,"(184.62114034722958, 443.2472336213998)",19201.12,19201.1224,124.49954032897949,0.0,0.3339,0.28806206907400456,0.10115067878394146,6.1725,2.8069,1,0.9916509947870367
16,ccfbte210072.fits,8,0.3369,"(465.8543205500107, 255.36713284253543)",3512.6233,3512.6342,135.60167694091797,0.0,1.9779,0.1828538675557252,2.220446049250313e-16,5.0889,1.3395,1,1.01
17,ccfbte210072.fits,10,0.5211,"(115.23160055705567, 279.9211321723407)",2694.7417,2694.7421,114.66994285583496,0.0,1.3344,0.29379783400264436,0.1336018693505312,5.1655,1.4993,1,1.01
18,ccfbte210073.fits,10,0.4642,"(417.9308663939008, 268.1757918667509)",21256.621,21256.6184,145.1692352294922,0.0,1.089,0.2765767297516648,0.08537937723144484,6.2407,2.625,1,0.9513264961159866
19,ccfbte210073.fits,10,0.4526,"(226.63221806322903, 173.92833203603678)",10033.031,10033.0327,115.3085708618164,0.0,1.259,0.2923966664762029,0.09365900277359829,5.467,2.2575,1,0.9665266939063002
