,image,rl num_iters,rl exec_time (s),fc-sgp num_iters,fc-sgp exec_time (s),rl fwhm (pix),fc-sgp fwhm (pix),rl l1 centroid_err,fc-sgp l1 centroid_err
0,ccfbta060115.fits,3,0.0069,2,0.0241,9.486,6.561,4.756,0.73
1,ccfbta060117.fits,3,0.0056,2,0.0144,9.462,5.724,4.169,0.812
2,ccfbte210072.fits,2,0.0046,500,3.4553,7.171,4.37,1.772,1.047
3,ccfbte210073.fits,2,0.004,500,3.2972,7.074,4.361,1.802,1.314
4,ccfbte210075.fits,2,0.0047,500,2.8543,6.937,4.031,1.514,1.922
5,ccfbtg160040.fits,2,0.0047,3,0.0167,7.479,4.162,1.766,2.547
6,ccfbua120155.fits,2,0.0042,3,0.0167,7.967,4.549,2.335,3.025
7,ccfbua120156.fits,2,0.0038,2,0.012,8.74,4.584,5.838,5.466
8,ccfbua120157.fits,2,0.0051,3,0.0155,8.704,4.918,1.97,2.076
9,ccfbua120158.fits,2,0.0037,3,0.0149,8.902,5.003,2.162,2.675
10,ccfbua120159.fits,2,0.0039,3,0.0153,8.754,5.018,2.026,2.485
11,ccfbua120160.fits,2,0.0044,3,0.017,7.834,4.766,1.807,2.574
12,ccfbua280099.fits,2,0.0045,2,0.0141,9.639,6.327,2.937,0.386
13,ccfbue110098.fits,2,0.005,3,0.0154,8.397,4.335,1.852,1.767
14,ccfbue110099.fits,2,0.005,3,0.0199,7.406,4.103,2.241,2.122
15,ccfbue240134.fits,2,0.0039,3,0.0152,8.988,4.768,1.93,1.244
16,ccfbug080020.fits,2,0.0044,2,0.0128,10.543,9.063,6.738,0.801
17,ccfbug080021.fits,2,0.0041,2,0.0122,9.401,5.657,3.001,1.274
18,ccfbug080022.fits,2,0.0038,2,0.0133,10.554,6.506,6.763,0.725
19,ccfbuk060030.fits,2,0.0037,2,0.012,9.72,5.347,4.576,0.683
20,ccfbva240057.fits,2,0.0045,2,0.0141,8.857,4.778,1.429,0.772
21,ccfbva240058.fits,2,0.0038,2,0.0139,9.017,4.601,1.333,0.697
22,ccfbva240059.fits,2,0.0038,2,0.0133,9.631,4.725,3.556,0.95
23,ccfbva240060.fits,2,0.0041,2,0.0124,9.119,4.637,1.667,0.898
24,ccfbva240061.fits,2,0.0037,2,0.0121,8.096,4.758,1.716,1.592
25,ccfbvb230022.fits,2,0.0038,2,0.0133,9.412,5.881,3.432,1.577
26,ccfbvc170118.fits,2,0.0038,2,0.0135,9.43,9.268,3.567,1.057
27,ccfbvc170119.fits,2,0.0045,2,0.0139,8.913,6.519,0.407,0.394
28,ccfbvc170120.fits,3,0.0061,2,0.0136,9.169,8.923,2.071,1.065
29,ccfbvc170121.fits,3,0.0073,3,0.0176,8.408,6.702,1.124,0.405
