,image,num_iters,execution_time,star_coord,rel_klds,rel_recon_errors,flux_before,flux_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag
0,ccfbue110099.fits,2,0.01,"(327.3375, 106.8566)","[0.22670202288995567, 0.0464635489112298]","[1.1591242649818436, 1.2942113920485574]",166510.695,139116.298,0.159,0.16156585594242923,0.21624768785004467,9.969,4.019,0
1,ccfbvc170118.fits,2,0.006,"(474.0155, 402.918)","[0.18903644957539092, 0.05058746873552292]","[0.8258983474221943, 0.8823507088027641]",19539.843,18419.015,1.975,0.13922673621547355,0.2059814022542218,13.083,6.424,1
2,ccfbvc170118.fits,2,0.006,"(178.244, 506.4522)","[0.19289946362482005, 0.05873735334502428]","[0.7516586673758745, 0.8009700985644351]",24464.278,23067.679,1.529,0.11922524520707634,0.22305942409851676,13.196,6.099,1
3,ccfbvc170118.fits,2,0.006,"(485.6476, 528.831)","[0.1625470337160251, 0.033507493336538345]","[0.7741008840963463, 0.8436151431973281]",167494.144,174231.24,2.017,0.12929485344238012,0.25082947547011025,14.442,5.717,1
4,ccfbvc170119.fits,2,0.008,"(226.8246, 174.0645)","[0.1645857412622922, 0.01894675947536451]","[0.8407969535842552, 0.874452907033923]",11975.573,12350.014,0.795,0.06113714251443059,0.17166127670425535,13.621,6.655,1
5,ccfbvc170119.fits,2,0.012,"(515.4571, 110.0911)","[0.22252456765530138, 0.02928306577523426]","[0.6378194894105976, 0.6612013959189282]",78685.954,84658.349,1.033,0.04776810678469334,0.16298289884355344,12.706,6.361,1
6,ccfbvc170119.fits,2,0.008,"(297.1877, 311.5624)","[0.19387811703558164, 0.042349999598087495]","[0.7251708655394125, 0.7495210862462073]",26701.193,25656.585,0.801,0.05505976031297455,0.1790907711707399,12.6,6.283,1
7,ccfbvc170120.fits,2,0.008,"(484.9905, 435.0559)","[0.10049845961519514, 0.043922786461012206]","[0.8561572348622308, 0.9228004167160894]",33880.079,32481.446,2.912,0.3137162397072598,0.16171058785565773,13.115,7.506,1
8,ccfbvc170120.fits,2,0.007,"(266.2868, 418.8551)","[0.3278840182738298, 0.041633664383454935]","[3.0819362235122703, 3.206893836315494]",257654.634,477779.917,1.269,0.2305516995613318,0.12773944065652076,15.038,7.193,0
9,ccfbvc170121.fits,2,0.007,"(178.0998, 506.4224)","[0.2942888831964358, 0.020338643921181565]","[0.8973557060080711, 0.9529688025410729]",40462.343,53534.614,0.966,0.04365138744728747,0.11526532249917665,13.39,7.334,0
10,ccfbvc170121.fits,2,0.006,"(443.4051, 132.5788)","[0.2415361757594112, 0.00745834477367083]","[1.1473299541072248, 1.2087340401542845]",97295.914,107508.176,1.148,0.12803289029088794,0.10624442822042468,13.115,7.389,0
11,ccfbvc310078.fits,2,0.006,"(178.0553, 506.567)","[0.05635473004486974, 0.0014537203347410326]","[0.7628153970629525, 0.766860645156316]",27779.767,26067.702,0.247,0.17813790503337912,0.4533081366566858,12.352,6.331,1
12,ccfbvc310078.fits,2,0.007,"(513.7465, 403.1672)","[0.018386349574910983, 6.265511316888021e-15]","[0.5431905206136995, 0.5431905206138126]",81345.724,82948.264,0.159,0.2752477322827418,0.23726302226721274,13.193,10.086,1
13,ccfbvc310080.fits,2,0.006,"(178.1496, 506.69)","[0.29039187808705924, 0.11978100247338447]","[0.7803093119537979, 0.7982000427903908]",27871.552,22097.654,0.212,0.14735444558176847,0.19830500859849176,10.912,4.727,0
14,ccfbvc310080.fits,2,0.006,"(297.1078, 311.5216)","[0.2737082205822902, 0.1287359633738625]","[0.7704924667778023, 0.7928338476498895]",30981.156,23182.218,0.221,0.11836872910892526,0.2309852749919319,10.401,4.5,0
15,ccfbvc310081.fits,2,0.006,"(393.0507, 312.993)","[0.10417545757252875, 0.06492372714733533]","[0.9470419476196675, 1.0215752822918298]",72995.56,67433.738,0.444,0.2968879376558431,0.3751693303180609,13.794,5.523,1
16,ccfbvd120064.fits,2,0.006,"(480.1201, 27.653)","[0.3425677918318761, 0.02916182030236639]","[0.5613452516710831, 0.5975281507785755]",64299.191,75864.165,0.437,0.11705093831859004,0.14017140521999294,13.103,6.382,0
17,ccfbvd120067.fits,2,0.01,"(430.7711, 436.9033)","[0.10896549247323901, 0.02156915165421286]","[0.6572462339089843, 0.7189582526189233]",830052.113,930806.497,0.477,0.08360720087407636,0.0873530530183424,12.695,5.922,0
18,ccfbvf110066.fits,2,0.008,"(430.91, 436.7877)","[0.157259553985618, 0.024502528161271565]","[1.0347967750892493, 1.1288056507839979]",918460.439,905794.478,0.419,0.11264655985261107,0.26651557038817686,10.059,4.465,1
19,ccfbvf110069.fits,2,0.006,"(466.6864, 303.6346)","[0.2252443600712293, 0.04099489455971762]","[0.951726685326828, 1.0010430101715275]",129927.981,127282.056,0.825,0.2135325243141919,0.3345100496277622,11.034,5.556,1
20,ccfbwd010113.fits,2,0.01,"(266.2741, 418.8532)","[0.2642674720509231, 0.05630667868593058]","[0.638137860390865, 0.6630851113086796]",136799.991,119138.365,0.453,0.39019992660013736,0.05831491416794832,14.616,6.334,0
21,ccfbxb090103.fits,2,0.006,"(327.2416, 106.9162)","[0.2515851425238114, 0.051718827601187414]","[0.7384463969251432, 0.8025876004499688]",130876.613,117083.405,0.651,0.09035866993682762,0.3026144627438726,10.383,4.656,0
